ID,Jméno místa,E-mail,Webová stránka / profil,Lokalita - kraj,Lokalita do 90 minut,Kapacita text,Kapacita max (číslo),Architektonický typ,Ubytování,Ubytování normalizace,Služby místa,Catering a pití,Catering normalizace,Večerní party,Party normalizace,Přidané hodnoty,Pronájem,Průměrná cena svatby,Další poznámka,Zdroj dohledání webu
1,Farma Michael ,svatby@farmamichael.cz,https://farmamichael.cz,Středočeský,od Prahy,do 150,150,Zajímavé místo / unikát,Ano - přímo v místě,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"wellness, pes, svatby na klíč: svatební koordinace, vlastní florista, aktivity, hodně možností venkovní v vnitří prostory","do 150.000,-","nad 500.000,-",,https://farmamichael.cz
2,Areál na samotě u lesa,iren.janackova@gmail.com,https://areal-nasamoteulesa.cz/,Pardubický,od Prahy,do 100,100,"Příroda (louka, les, u vody)",Ano - přímo v místě,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"✔️ Veškeré potřebné vybavení, nádobí (servírovací a gastro), sklo, stoly, židle i posezení venku
✔️ Žádné korkovné
✔️ Hudba po půlnoci
✔️ Velký altán ( otevřeny nebo zavřený) až pro 90 osob sedících pohodlně u stolů.
✔️Ubytování až pro 40 hostů v chatkách nebo ve stanech u Areálu. Za příplatek přespání až 
pro 12os v naší chatě v Areálu.
✔️Parkování pro všechny přímo u Areálu
✔️Obřad v lese pod širým nebem nebo pod altánkem– mokrá varianta zajištěna
✔️Dětský koutek, houpačky, pískoviště
✔️Doporučený catering 900Kč/os.
✔️Oplocený celý Areál a bazén 
✔️Domácí mazlíčci vítání","do 70.000,-","do 200.000,-","Co je součásti pronájmu a balíčku BEZ STAROSTÍ?

✔️Konzultace (online/offline) –praktické rady s plánováním, výběrem dodavatelů, rozpočtem, harmonogramem
✔️ Koordinace celého svatebního dne – ať vše běží hladce
✔️ Profesionální DJ a moderátor (postará se o celkový průběh svatby a odmoderuje domluvené hry)
✔️ Reportážní fotografie a videoklip
✔️ Výzdoba (ubrusy, různě barevné běhouny, několik druhů váziček, slavobrána, světýlka, záclony...a spoustu dalšího)
✔️ Fotokoutek, rekvizity na focení včetně tisku fotografií
✔️ Závěrečný úklid a průběžný úklid na WC, odvoz odpadu
✔️ Zázemí pro děti, ohniště, altán, taneční parket, několik zákoutí pro odpočinek
✔️ Kuchyňka, výčep, gastro vybavení, lednice, mrazák
✔️ Veškeré nádobí, stoly, židle i posezení venku
✔️ Žádné korkovné
✔️ Hudba po půlnoci
✔️ Velký altán ( otevřeny nebo zavřený) až pro 90 osob sedících pohodlně u stolů.
✔️Ubytování až pro 40 hostů v chatkách nebo ve stanech u Areálu. Za příplatek přespání až 
pro 12os v naší chatě v Areálu.
✔️Parkování pro všechny přímo u Areálu
✔️Obřad v lese pod širým nebem nebo pod altánkem– mokrá varianta zajištěna
✔️Dětský koutek, houpačky, pískoviště
✔️Doporučený catering 900Kč/os.
✔️Oplocený celý Areál a bazén 
✔️Domácí mazlíčci vítání
➡️ Samotný pronájem od 35.000Kč + 27.000Kč balíček BEZ STAROSTÍ
➡️ Slevy 5.000-15.000Kč pro svatby v týdnu a obřadem v úterý",https://areal-nasamoteulesa.cz/
3,Mlýn 1774,lucie.eyerova@seznam.cz,https://www.mlyn1774.cz/,Olomoucký,"90 minut od Brna, Olomouce i Hradce Králové",do 80,80,"Mlýn, stodola, statek",Ano - přímo v místě,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"ubytování ve stylovém mlýně, obřad na louce, wellnes koutek s vířivkou a sauou, dětský koutek uvnitř mlýna, trampolína pro děti, možnost mít domácí zvíře sebou, dostatek prostoru i pro stany, tepee, karavany","do 70.000,-","do 100.000,-",,https://www.mlyn1774.cz/
5,Apartmány U rybníčku,info@apartmanyurybnicku.cz,https://apartmanyurybnicku.cz,Jihočeský,od Prahy,do 40,40,"Mlýn, stodola, statek",Ano - přímo v místě,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Wellness, moznost mit psa, rybnicek, historie, vse puvodni, atmosfera, klid",Dle domluvy,"do 100.000,-","Ubytovací kapacita až 26 osob, další možnosti v blízkém okolí.",https://apartmanyurybnicku.cz
6,Resort Malevil,ales.lezak@malevil.cz,https://malevil.cz,Liberecký,od Prahy,do 150,150,"Příroda (louka, les, u vody)",Ano - přímo v místě,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Wellness, bowling, bazén, trampolíny, ZOO, botanická zahrada, squash, golf, tenis, caravanpark, chalupy, sruby, vyjížďky na koních, pet friendly","do 50.000,-","do 300.000,-",,https://malevil.cz
7,Wellness Golf Hotel Morris,manager@morrishotels.cz,https://morrishotels.cz,Karlovarský,od Plzně,do 80,80,V přírodě v těsné blízkosti golfového hřiště,Ano - přímo v místě,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Pokud mají rezervovaný dostatek pokojů v hotelu, může být i po 22 hodině",možné po 22:00 dle podmínek,"Wellness, mohou mít i psa, svatba na golfovém hřišti, nebo na zajímavém místě dle naší nabídky","do 150.000,-",Podle čerpaných služeb a počtu hostů,Jsme velmi flexibilní,https://morrishotels.cz
8,Villa Fresco,cizova.michaela@gmail.com,https://www.villafresco.cz/,Pardubický,od Prahy,do 150,150,Součástí areálu je unikátní bílý prostor s gotickými okny pod hvězdami,Ano - přímo v místě,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Naší největší výhodou je, že ladíme areál do Italského stylu, hosté to hodně vnímají a pochvalují. Pes je možný, možnost zajištění dalšího ubytování v okolí, možnost stanů, možnost koordinace od majitelky, svatební dekorace zdarma k pronájmu",130.000 Kč,"do 500.000,-","Co obdržíte v rámci pronájmu?
 Exkluzivní využití celého areálu na 3 dny a 2 noci
Ubytování pro 31 osob - pokoje jsou převážně dvoulůžkové
Elegantní prostředí stodoly s kulatými stoly a židlemi pro až 120 hostů
Kouzelné dekorace pro obřad, které dodají Vaší svatbě tu správnou atmosféru
Parkování v areálu
Moderní venkovní zahradní nábytek
Naši asistenci a pomocnou ruku při plánování
A samozřejmě úklid po akci


Chceme, aby Vaše svatba byla přesně podle Vašich představ. Ať už jde o catering, hudbu, květiny nebo cokoli jiného, máte u nás naprostou svobodu. Dortovné a korkovné si neúčtujeme.
 


Další služby, které Vám usnadní celý den

Rádi Vám zajistíme také:
koordinaci svatebního dne
floristiku
rozvoz hostů
hlídání dětí

Volné termíny na rok 2027:

Květen - 30.-2., 7.-9., 14.-16., 21.-23., 28.-30.
Červen - 4.-6., 18.-20., 
Červenec - 2.-4., 9.-11., 30.-1.
Srpen - 6.-8., 13.-15., 20.-22., 27.-29.
Září - 3.-5.9., 10.-12., 17.-19., 24.-26.
Všední dny na dotaz. 

Stanování/umístění karavanu v areálu možné je zdarma, případně doporučíme ubytování v okolí.",https://www.villafresco.cz/
9,Dubenec,info@penzionnafare.cz,https://penzionnafare.cz,Královohradecký,od Prahy,do 150,150,Opravená Fara s relaxační zonou a rybníkem,Ano - přímo v místě,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"wellness, rybníček, pejsi na vodítku , svatba na molu u rybníka","do 50.000,-","do 200.000,-",,https://penzionnafare.cz
10,Martinský mlýn,martinskymlyn@seznam.cz,https://www.martinskymlyn.cz/,Jihočeský,od Prahy,do 100,100,"Mlýn, stodola, statek",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Wellness, rybník, možnost domácích mazlíků","do 70.000,-","Naprosto individualní, dle požadavků a náročnosti snoubenců.","Mlýn je na samotě, obklopen vodou a lesy a má velký genius loci.",https://www.martinskymlyn.cz/
11,Dvůr u Lejtnarů Bednáreček,mmmikulecka@seznam.cz,https://www.pension-jizni-cechy.cz/,Jihočeský,od Plzně,do 80,80,"Příroda (louka, les, u vody)",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"wellness, uzavřený komorní dvůr, zvířata povolena","do 100.000,-","do 200.000,-",milý personál,https://www.pension-jizni-cechy.cz/
