Jméno místa,E-mail - Webové stránky,2.a Lokalita - Kraj,2.b Lokalita do 90 minut ,3. Kapacita svatebního místa,4. Architektonický typ místa,5. Ubytování ,6. Služby nabízené místem ,7. Catering a pití ,8. Večerní party ,"10. Jaké máte další přidané hodnoty pro snoubence? např. Wellness, možnost mít psa, rybníček - cokoliv co by mohlo být na víc.. ",10. Jaký je pronájem Vašeho místa,11. Kolik u Vás průměrně stojí svatba?
Kvítkův Dvůr,kvitkuv.dvur@seznam.cz https://www.npu.cz/cs/hrady-a-zamky/tipy-na-vylet/92928-statek-kvitkuv-dvur,Jihočeský,od Českých Budějovic,do 60,zámeček - zámecký statek dříve součást areálu zámku Č. Krumlov,Ano -  v okolí do 10 minut,"obřad, hostina a party pro až 52 osob; ubytování pro až 15 osob, ostatní ve městě","vlastní jídlo a pití snoubenců bez poplatků, nebo zajistíme catering","Máme místo, kde nerušíme noční klid","Unikátní rokokový sál, rokokový kabinet pro přípravu nevěsty před obřadem, rybníček, za příplatek zapůjčujeme na hostinu repliky celozlacených rokokových příborů Solingen, bez příplatku zapůjčujeme na hostinu luxusní příbory Toner classic prestige","do 78 000 při 52 svatebčanech - viz naše stránky, bez ceny ubytování","Cena pronájmu prostor a mobiliáře se u nás odvíjí od počtu svatebčanů, viz naše stránky."
Zámeček Dubí ,"zamecek@profiters.cz, zamecek-dubi.cz",Ústecký kraj,Praha,do 100,Lovecký zámeček přírodního typu,60 osob,Vše na jednom místě,"Vlastní pití snoubenců bez poplatků, zajistíme catering",Nerušíme noční klid ,"Obrovská zahrada, Výzdoba i nábytek v ceně. ","od 76.000,-  na víkend","230.000,-"
Penzion Tereza,penzion-tereza@profiters.cz https://www.penzion-tereza.cz/,Ústecký kraj,Praha,do 80 ,Horský penzion ,20+30,Vše na jednom místě,Vše od nás ,po 22.00 party místnost,Máme penzion na sjezdovce v ceně je výzdoba,58.000.-  na víkend,"180.000,-"
Penzion Stará pošta Varvažov,"info@profiters.cz, https://www.pensionstaraposta.cz/",Ústecký kraj,Praha,do 80 ,Statek ,20 + 30,Vše na jednom místě,Vše od nás ,po 22.00 party místnost,Nádherná zahrada a stodola ,"58.000,- na víkend","180.000,-"
Apartmány Ralsko,apartmanyralsko@svatebnimista.cz https://apartmanyralsko.cz/,Liberecký Kraj,Praha,do 80 ,Přírodní neokoukné míto,45,Vše na jednom místě,Jídlo a pití vlastní bez poplatků ,Žádný noční klid,"Totální samota, biotop na koupání, příroda","139.000,- na víkend","139.000,-"
Fara pod Milešovkou ,farapodmilesovkou@svatebnimista.cz https://www.farapodmilesovkou.cz/cs/,Ústecký kraj,Praha,do 80 ,Moderně zrekonstruovaná fara s industriální stodolou ,20,Vše na jednom místě,Jídlo a pití vlastní bez poplatků ,Žádný noční klid,"Moderní pojetí historie. Nádherné vkusné pokoje, prosklená stodola ","89.000,- na víkend ","89.000,-"
Zámek Čekanice,https://www.zamekcekanice.cz/,Středočeský kraj ,Praha,do 70,Zámek ,25,Vše na jednom místě,Jídlo a pití vlastní bez poplatků ,Žádný noční klid,,"50.000,- na víkend ","50.000,-"
Vítovský Statek ,https://www.vitovskystatek.cz/,Středočeský kraj ,Praha,do 100,Statek ,20,Vše na jednom místě,Vše od nás ,po 22.00 party místnost,,"do 100.000,-  na víkend","250.000,-"
Panství Bzí ,https://www.panstvi-bzi.cz/,Jihočeský,České Budějovice,do 300,Statek,80,Vše na jednom místě,Jídlo a pití vlastní bez poplatků ,Žádný noční klid,,"od 150.000,- na víkend","200.000,- "
Statek u Kapličky,https://statek-ukaplicky.cz/,Středočeský kraj ,Praha,do 100,Statek ,20,Vše na jednom místě,Vše od nás ,po 22.00 party místnost,,"do 100.000,-  na víkend","250.000,-"
Zámecký resort Štáblovice,https://www.stablovice.cz/svatby/,Olomoucký kraj,Olomouc,do 100,Zámecký resort,20,Vše na jednom místě,Vše od nás ,po 22.00 party místnost,Francouzská zahrada - luxusní obřad,"od 7500,-","150.000,-"
Hotel Garden u Holubů,https://www.uholubu.com/,Beskydy,Ostrava,do 100,Nádherné místo v přírodě v Beskydech - luxus spojený s přírodou,50,Vše na jednom místě,Vše od nás ,Žádný noční klid,Obřadní místo s výhledem na hory,"od 50.000,- ","200.000,- "
Victoria Garden,https://www.victoriagarden.cz/,Středočeský kraj ,Praha 30 min od Prahy,do 80 ,"Místo inspirováno Francii, majitelka dlouhodobě žije ve francii",32,Vše na jednom místě,Jídlo a pití vlastní bez poplatků ,po 22.00 party místnost,Luxusní ubytování,"od 50.000,-","90.000,-"
Čapí Hnízdo ,https://www.capihnizdo.cz/?gad_source=1&gad_campaignid=23373644635&gbraid=0AAAABCTrWSR0-zdRuwj5IL9Dkr3U2DIFs&gclid=CjwKCAjwzevPBhBaEiwAplAxvvZq4YlijW8WeYZgSYzEkLqvsDvu3_5RTgyQXp54FxRQZcjk4qlkfxoCLbQQAvD_BwE,Středočeský kraj ,Praha,do 200,Nádherné přírodní místo s unikátním místem pro hostinu v čapím hnízdě. ,150,Vše na jednom místě,Vše od nás ,Žádný noční klid,Luxusní ubytování a wellness,"od 150.000,-","350.000,- "
